Sex,AgeRange,HeadSize,BrainWeight
male,1,4512,1530
male,1,3738,1297
male,1,4261,1335
male,1,3777,1282
male,1,4177,1590
male,1,3585,1300
male,1,3785,1400
male,1,3559,1255
male,1,3613,1355
male,1,3982,1375
male,1,3443,1340
male,1,3993,1380
male,1,3640,1355
male,1,4208,1522
male,1,3832,1208
male,1,3876,1405
male,1,3497,1358
male,1,3466,1292
male,1,3095,1340
male,1,4424,1400
male,1,3878,1357
male,1,4046,1287
male,1,3804,1275
male,1,3710,1270
male,1,4747,1635
male,1,4423,1505
male,1,4036,1490
male,1,4022,1485
male,1,3454,1310
male,1,4175,1420
male,1,3787,1318
male,1,3796,1432
male,1,4103,1364
male,1,4161,1405
male,1,4158,1432
male,1,3814,1207
male,1,3527,1375
male,1,3748,1350
male,1,3334,1236
male,1,3492,1250
male,1,3962,1350
male,1,3505,1320
male,1,4315,1525
male,1,3804,1570
male,1,3863,1340
male,1,4034,1422
male,1,4308,1506
male,1,3165,1215
male,1,3641,1311
male,1,3644,1300
male,1,3891,1224
male,1,3793,1350
male,1,4270,1335
male,1,4063,1390
male,1,4012,1400
male,1,3458,1225
male,1,3890,1310
male,2,4166,1560
male,2,3935,1330
male,2,3669,1222
male,2,3866,1415
male,2,3393,1175
male,2,4442,1330
male,2,4253,1485
male,2,3727,1470
male,2,3329,1135
male,2,3415,1310
male,2,3372,1154
male,2,4430,1510
male,2,4381,1415
male,2,4008,1468
male,2,3858,1390
male,2,4121,1380
male,2,4057,1432
male,2,3824,1240
male,2,3394,1195
male,2,3558,1225
male,2,3362,1188
male,2,3930,1252
male,2,3835,1315
male,2,3830,1245
male,2,3856,1430
male,2,3249,1279
male,2,3577,1245
male,2,3933,1309
male,2,3850,1412
male,2,3309,1120
male,2,3406,1220
male,2,3506,1280
male,2,3907,1440
male,2,4160,1370
male,2,3318,1192
male,2,3662,1230
male,2,3899,1346
male,2,3700,1290
male,2,3779,1165
male,2,3473,1240
male,2,3490,1132
male,2,3654,1242
male,2,3478,1270
male,2,3495,1218
male,2,3834,1430
male,2,3876,1588
male,2,3661,1320
male,2,3618,1290
male,2,3648,1260
male,2,4032,1425
male,2,3399,1226
male,2,3916,1360
male,2,4430,1620
male,2,3695,1310
male,2,3524,1250
male,2,3571,1295
male,2,3594,1290
male,2,3383,1290
male,2,3499,1275
male,2,3589,1250
male,2,3900,1270
male,2,4114,1362
male,2,3937,1300
male,2,3399,1173
male,2,4200,1256
male,2,4488,1440
male,2,3614,1180
male,2,4051,1306
male,2,3782,1350
male,2,3391,1125
male,2,3124,1165
male,2,4053,1312
male,2,3582,1300
male,2,3666,1270
male,2,3532,1335
male,2,4046,1450
male,2,3667,1310
female,1,2857,1027
female,1,3436,1235
female,1,3791,1260
female,1,3302,1165
female,1,3104,1080
female,1,3171,1127
female,1,3572,1270
female,1,3530,1252
female,1,3175,1200
female,1,3438,1290
female,1,3903,1334
female,1,3899,1380
female,1,3401,1140
female,1,3267,1243
female,1,3451,1340
female,1,3090,1168
female,1,3413,1322
female,1,3323,1249
female,1,3680,1321
female,1,3439,1192
female,1,3853,1373
female,1,3156,1170
female,1,3279,1265
female,1,3707,1235
female,1,4006,1302
female,1,3269,1241
female,1,3071,1078
female,1,3779,1520
female,1,3548,1460
female,1,3292,1075
female,1,3497,1280
female,1,3082,1180
female,1,3248,1250
female,1,3358,1190
female,1,3803,1374
female,1,3566,1306
female,1,3145,1202
female,1,3503,1240
female,1,3571,1316
female,1,3724,1280
female,1,3615,1350
female,1,3203,1180
female,1,3609,1210
female,1,3561,1127
female,1,3979,1324
female,1,3533,1210
female,1,3689,1290
female,1,3158,1100
female,1,4005,1280
female,1,3181,1175
female,1,3479,1160
female,1,3642,1205
female,1,3632,1163
female,2,3069,1022
female,2,3394,1243
female,2,3703,1350
female,2,3165,1237
female,2,3354,1204
female,2,3000,1090
female,2,3687,1355
female,2,3556,1250
female,2,2773,1076
female,2,3058,1120
female,2,3344,1220
female,2,3493,1240
female,2,3297,1220
female,2,3360,1095
female,2,3228,1235
female,2,3277,1105
female,2,3851,1405
female,2,3067,1150
female,2,3692,1305
female,2,3402,1220
female,2,3995,1296
female,2,3318,1175
female,2,2720,955
female,2,2937,1070
female,2,3580,1320
female,2,2939,1060
female,2,2989,1130
female,2,3586,1250
female,2,3156,1225
female,2,3246,1180
female,2,3170,1178
female,2,3268,1142
female,2,3389,1130
female,2,3381,1185
female,2,2864,1012
female,2,3740,1280
female,2,3479,1103
female,2,3647,1408
female,2,3716,1300
female,2,3284,1246
female,2,4204,1380
female,2,3735,1350
female,2,3218,1060
female,2,3685,1350
female,2,3704,1220
female,2,3214,1110
female,2,3394,1215
female,2,3233,1104
female,2,3352,1170
female,2,3391,1120